Department Code,Department Name,Department Full Name,School Code,School Name,Dept Budget Code,Is Degree Granting,Dept Name In Commencement Bk,School Name In Commencement Bk,Department Name History,Department Last Activity Date,Dlc Key,Warehouse Load Date
SENG,School of Engineering,SENG-School of Engineering,E,Engineering,060000,Y,Program in School of Engineering,School of Engineering,"",02/17/94 12:00 AM,D_DOE,01/08/16 12:10 AM
EN,Center for Adv Eng Studies,EN  -Center for Adv Eng Studies,E,Engineering,069000,Y,"",School of Engineering,"",01/04/95 12:00 AM,D_CAES,01/08/16 12:10 AM
SDM,System Design & Management Prg,SDM -System Design & Management Prg,E,Engineering,060800,Y,Program in System Design and Management,School of Engineering,"",11/18/99 12:00 AM,D_SDM,01/08/16 12:10 AM
BEH,Bioengineering & Envir. Health,BEH -Bioengineering & Envir. Health,E,Engineering,069200,Y,Biological Engineering Division,School of Engineering,was TOX,11/18/99 12:00 AM,D_BIOENG,01/08/16 12:10 AM
ESD,Engineering Systems Division,ESD -Engineering Systems Division,E,Engineering,068100,Y,Engineering Systems Division,School of Engineering,"",11/18/99 12:00 AM,D_IDSS,01/08/16 12:10 AM
ASP,Advanced Study Program,ASP -Advanced Study Program,E,Engineering,405100,Y,"",School of Engineering,was CAES,11/07/03 12:00 AM,D_ASP,01/08/16 12:10 AM
CSB,Computational and Systems Bio,CSB -Computational and Systems Bio,E,Engineering,069200,Y,Program in Computational and Systems Biology,School of Engineering,"",03/15/07 12:00 AM,D_CSBI,01/08/16 12:10 AM
CDO,Computation for Des & Optmiz,CDO -Computation for Des & Optmiz,E,Engineering,060000,Y,Program in Computation for Design and Optimization,School of Engineering,"",02/26/09 12:00 AM,D_CDO,01/08/16 12:10 AM
6,Electrical Eng & Computer Sci,  6 -Electrical Eng & Computer Sci,E,Engineering,064000,Y,Department of Electrical Engineering and Computer Science,School of Engineering,"",02/17/94 12:00 AM,D_EECS,01/08/16 12:10 AM
16,Aeronautics and Astronautics, 16 -Aeronautics and Astronautics,E,Engineering,061000,Y,Department of Aeronautics and Astronautics,School of Engineering,"",02/17/94 12:00 AM,D_AEROASTRO,01/08/16 12:10 AM
20,Biological Engineering, 20 -Biological Engineering,E,Engineering,069200,Y,Department of Biological Engineering,School of Engineering,was Applied Biological Engineering,06/28/07 12:00 AM,D_BIOENG,01/08/16 12:10 AM
MAP,Midcareer Acceleration Program,MAP -Midcareer Acceleration Program,E,Engineering,405100,Y,"",School of Engineering,"",09/20/06 12:00 AM,D_CAES,01/08/16 12:10 AM
PEP,Professional Education Prog,PEP -Professional Education Prog,E,Engineering,405100,Y,"",School of Engineering,"",11/03/06 12:00 AM,D_PEP,01/08/16 12:10 AM
EM,System Design & Management Prg,EM  -System Design & Management Prg,E,Engineering,060800,Y,Program in System Design and Management,School of Engineering,"",06/23/15 12:00 AM,D_SDM,01/08/16 12:10 AM
17,Political Science, 17 -Political Science,H,"Hum, Arts & Social Sciences",095500,Y,Department of Political Science,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_POLSCI,01/08/16 12:10 AM
21,Humanities, 21 -Humanities,H,"Hum, Arts & Social Sciences",090000,Y,Department of Humanities,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_DHSS,01/08/16 12:10 AM
21H,History, 21H-History,H,"Hum, Arts & Social Sciences",093400,Y,History,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_HISTORY,01/08/16 12:10 AM
21L,Literature, 21L-Literature,H,"Hum, Arts & Social Sciences",093600,Y,Literature,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_LIT,01/08/16 12:10 AM
21M,Music and Theater Arts, 21M-Music and Theater Arts,H,"Hum, Arts & Social Sciences",093700,Y,Music and Theater Arts,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_MTA,01/08/16 12:10 AM
21A,Anthropology, 21A-Anthropology,H,"Hum, Arts & Social Sciences",093200,Y,Program in Anthropology,"School of Humanities, Arts, and Social Sciences",Anthropol/Archaeol until 1998-99,05/30/06 12:00 AM,D_ANTHRO,01/08/16 12:10 AM
